// Compost colors for pamhc2foodcore. You may add your own colors, change existing ones, or remove colors that aren't needed.
appledonutitem, #ffee7f
applejellyitem, #ed986f
applejellytoastitem, #a5842d
applejuiceitem, #eef5cf
applemuffinitem, #ffb658
applepieitem, #ffbc5c
applepopsicleitem, #fff18a
applesauceitem, #96762c
applesmoothieitem, #f1e6c0
appleyogurtitem, #ffcc98
baconandeggsitem, #dd9147
baconcheeseburgeritem, #c87f29
bakedvegetablemedlyitem, #a06426
bakewareitem, #f8bb97
basiccheeseburgeritem, #cc862f
basicchickensandwichitem, #d28626
basicfishsandwichitem, #dca03d
basichamburgeritem, #b97326
basicmuttonsandwichitem, #bb7a2f
basicporksandwichitem, #d2943c
basicrabbitsandwichitem, #d68c37
basicveggieburgeritem, #c5762d
batteritem, #ffe075
beefjerkyitem, #af3029
beefnoodlesoupitem, #6c4d18
beefpotpieitem, #ffb15b
boiledeggitem, #ffe794
butteredbakedpotatoitem, #fcc55f
butteritem, #ffffc2
caramelappleitem, #e46823
carameldonutitem, #ffb829
caramelicecreamitem, #eda86e
caramelitem, #f8a825
caramelmuffinitem, #ffa246
caramelpieitem, #ffb150
caramelyogurtitem, #ffd78a
carrotbreaditem, #d36930
carrotcakeitem, #ffffcd
carrotdonutitem, #ffbe25
carrotjuiceitem, #f5c098
carrotmuffinitem, #ffa044
carrotpieitem, #ffb14e
carrotsoupitem, #905a12
cheesecakeitem, #ffffed
cheeseitem, #ffff04
chickendinneritem, #f1a879
chickenjerkyitem, #eda28a
chickennoodlesoupitem, #82581e
chickennuggetitem, #eb8e26
chickenpotpieitem, #ffbc61
chocolatebaconitem, #65300b
chocolatebaritem, #5f300f
chocolatecakeitem, #b2703c
chocolatecaramelfudgeitem, #845014
chocolatedonutitem, #824b20
chocolateicecreamitem, #dd9d73
chocolatemilkitem, #aeabb1
chocolatemuffinitem, #f49a48
chocolatepieitem, #ffa751
chocolaterollitem, #916441
chocolateyogurtitem, #e8be8e
chorusdonutitem, #b47d90
chorusjellyitem, #e1a48e
chorusjellytoastitem, #846444
chorusjuiceitem, #b6b9eb
chorusmuffinitem, #ffa762
choruspieitem, #ffae62
choruspopsicleitem, #b484a8
chorussmoothieitem, #b4b2e3
chorusyogurtitem, #f0c5aa
cocoapowderitem, #985b3c
cookedgroundbeefitem, #5c301f
cookedgroundchickenitem, #ff9455
cookedgroundfishitem, #daa578
cookedgroundmuttonitem, #9b543d
cookedgroundporkitem, #ffe69a
cookedgroundrabbititem, #d07640
cookiesandmilkitem, #f7f4dc
cookingoilitem, #e6ac7c
cottoncandyitem, #ffafd3
crackeritem, #ffb455
crackersandcheeseitem, #ffbf4b
creamitem, #e6b9a2
cuttingboarditem, #dd8955
doughitem, #ffffe8
epicbaconitem, #bea890
fishandchipsitem, #fffc7c
fishjerkyitem, #c9915f
fishnoodlesoupitem, #7c5a22
fishpotpieitem, #ffbe65
fishsticksitem, #ffd068
flouritem, #ffed91
freshmilkitem, #aa9775
freshwateritem, #8d8269
friedchickenitem, #d48d6b
friedeggitem, #ffffae
friesitem, #f2bf91
fruitpunchitem, #ffafca
fruitsaladitem, #a05e29
fudgesicleitem, #8c572d
glazedcarrotsitem, #ab6211
glowberrydonutitem, #ffd65c
glowberryjellyitem, #faaf73
glowberryjellytoastitem, #b57622
glowberryjuiceitem, #ffe1bc
glowberrymuffinitem, #ffb250
glowberrypieitem, #ffb858
glowberrypopsicleitem, #ffe466
glowberrysmoothieitem, #ffdcac
glowberryyogurtitem, #ffd691
grilledbeefskeweritem, #a46926
grilledcheeseandhamitem, #ffb939
grilledcheeseitem, #febb30
grilledchickenskeweritem, #b95f26
grilledfishskeweritem, #ac622f
grilledmuttonskeweritem, #b87630
grilledporkskeweritem, #dca048
grilledrabbitskeweritem, #a75520
grilledveggieskeweritem, #c0762c
grinderitem, #877f73
groundbeefitem, #ca332a
groundchickenitem, #ffb59b
groundfishitem, #dea56c
groundmuttonitem, #ff685c
groundporkitem, #ff9090
groundrabbititem, #fff1d7
gummycreepersitem, #e4a43d
honeyglazeddonutitem, #ffb82c
honeymuffinitem, #ffb54a
honeypieitem, #ffb451
hotchocolateitem, #c0a59a
hotdogitem, #c06116
icecreamitem, #ffd2af
jellybeansitem, #affffa
juiceritem, #e6a180
macncheeseitem, #a77f0a
marshmellowsitem, #ffffff
mashedpotatoesitem, #b19652
mayonaiseitem, #e8b196
meatloafitem, #6f3c29
melondonutitem, #e7391c
melonjellyitem, #e69069
melonjellytoastitem, #a44e1c
melonjuiceitem, #d38da1
melonmuffinitem, #ff9446
melonpieitem, #ffa451
melonpopsicleitem, #ed462d
melonsmoothieitem, #cd8e97
melonyogurtitem, #f1b886
mixingbowlitem, #553c0c
muttonjerkyitem, #ff5a50
muttonnoodlesoupitem, #75511c
muttonpotpieitem, #ffb55f
noodlesoupitem, #8a6929
p8juiceitem, #c38c9d
pastaitem, #ffffc2
pickledbeetsitem, #7f3a18
plaindonutitem, #ffaa51
porkjerkyitem, #fb8484
porknoodlesoupitem, #836428
porkpotpieitem, #ffc669
potatochipsitem, #ffffe0
